Date,Open Price,Close Price,High Price,Low Price,Volume,daydiffirence,dayopenchange,openchange,volumechangepercent
5-Dec-18,2782.43,2700.06,2785.93,2697.18,2858957824,88.75,0,82.37,0.015756724
6-Dec-18,2663.51,2695.95,2696.15,2621.53,3115363584,74.62,-118.92,-36.55,0.082303639
7-Dec-18,2691.26,2633.08,2708.54,2623.14,2457232384,85.4,27.75,-4.69,-0.267834334
10-Dec-18,2630.86,2637.72,2647.51,2583.23,2434630656,64.28,-60.4,-2.22,-0.009283432
11-Dec-18,2664.44,2636.78,2674.35,2621.3,2242852864,53.05,33.58,26.72,-0.085506185
12-Dec-18,2658.23,2651.07,2685.44,2650.26,2304548096,35.18,-6.21,21.45,0.026771076
13-Dec-18,2658.7,2650.54,2670.19,2637.27,2241559552,32.92,0.47,7.63,-0.028100321
14-Dec-18,2629.68,2599.95,2635.07,2593.84,2429752576,41.23,-29.02,-20.86,0.077453575
17-Dec-18,2590.75,2545.94,2601.13,2530.54,2715525120,70.59,-38.93,-9.2,0.105236568
18-Dec-18,2559.9,2546.16,2573.99,2528.71,2624934656,45.28,-30.85,13.96,-0.034511512
19-Dec-18,2547.05,2506.96,2585.29,2488.96,3223729408,96.33,-12.85,0.89,0.185745972
20-Dec-18,2496.77,2467.42,2509.63,2441.18,3429582848,68.45,-50.28,-10.19,0.06002288
21-Dec-18,2465.38,2416.62,2504.41,2408.55,4560164352,95.86,-31.39,-2.04,0.247925605
24-Dec-18,2400.56,2351.1,2410.34,2351.1,1662758784,59.24,-64.82,-16.06,-1.7425291
26-Dec-18,2363.12,2467.7,2467.76,2346.58,2611875072,121.18,-37.44,12.02,0.363385025
27-Dec-18,2442.5,2488.83,2489.1,2397.94,2386466304,91.16,79.38,-25.2,-0.094452944
28-Dec-18,2498.77,2485.74,2520.27,2472.89,2080726656,47.38,56.27,9.94,-0.146938882
31-Dec-18,2498.94,2506.85,2509.24,2482.82,1912680064,26.42,0.17,13.2,-0.087859227
