Date,Open Price,Close Price,High Price,Low Price,Volume,daydiffirence,dayopenchange,openchange,volumechangepercent
6-Jul-09,894.27,898.72,898.72,886.36,4712580096,12.36,-26.97,-2.15,0.165849708
7-Jul-09,898.6,881.03,898.6,879.93,4673299968,18.67,4.33,-0.12,-0.008405223
8-Jul-09,881.9,879.56,886.8,869.32,5721780224,17.48,-16.7,0.87,0.183243713
9-Jul-09,881.28,882.68,887.86,878.45,4347169792,9.41,-0.62,1.72,-0.31620813
10-Jul-09,880.03,879.13,883.57,872.81,3912079872,10.76,-1.25,-2.65,-0.111217034
13-Jul-09,879.57,901.05,901.05,875.32,4499440128,25.73,-0.46,0.44,0.130540743
14-Jul-09,900.77,905.84,905.84,896.5,4149029888,9.34,21.2,-0.28,-0.084455945
15-Jul-09,910.15,932.68,933.95,910.15,5238830080,23.8,9.38,4.31,0.208023581
16-Jul-09,930.17,940.74,943.96,927.45,4898639872,16.51,20.02,-2.51,-0.06944585
17-Jul-09,940.56,940.38,941.89,934.65,5141380096,7.24,10.39,-0.18,0.047213048
20-Jul-09,942.07,951.13,951.62,940.99,4853150208,10.63,1.51,1.69,-0.059390267
21-Jul-09,951.97,954.58,956.53,943.22,5309300224,13.31,9.9,0.84,0.08591528
22-Jul-09,953.4,954.07,959.83,947.75,4634100224,12.08,1.43,-1.18,-0.145702503
23-Jul-09,954.07,976.29,979.42,953.27,5761650176,26.15,0.67,0,0.195699134
24-Jul-09,972.16,979.26,979.79,965.95,4458299904,13.84,18.09,-4.13,-0.29234244
27-Jul-09,978.63,982.18,982.49,972.29,4631289856,10.2,6.47,-0.63,0.037352435
28-Jul-09,981.48,979.62,982.35,969.35,5490350080,13,2.85,-0.7,0.156467295
29-Jul-09,977.66,975.15,977.76,968.65,5178769920,9.11,-3.82,-1.96,-0.060164897
30-Jul-09,976.01,986.75,996.68,976.01,6035180032,20.67,-1.65,0.86,0.141902993
31-Jul-09,986.8,987.48,993.18,982.85,5139069952,10.33,10.79,0.05,-0.174372034
3-Aug-09,990.22,1002.63,1003.61,990.22,5603440128,13.39,3.42,2.74,0.082872337
4-Aug-09,1001.41,1005.65,1007.12,996.68,5713699840,10.44,11.19,-1.22,0.019297428
5-Aug-09,1005.41,1002.72,1006.64,994.31,7242120192,12.33,4,-0.24,0.21104598
6-Aug-09,1004.06,997.08,1008,992.49,6753379840,15.51,-1.35,1.34,-0.072369741
7-Aug-09,999.83,1010.48,1018,999.83,6827089408,18.17,-4.23,2.75,0.010796631
10-Aug-09,1008.89,1007.1,1010.12,1000.99,5406080000,9.13,9.06,-1.59,-0.262853936
11-Aug-09,1005.77,994.35,1005.77,992.4,5773159936,13.37,-3.12,-1.33,0.063583885
12-Aug-09,994,1005.81,1012.78,993.36,5498169856,19.42,-11.77,-0.35,-0.050014839
13-Aug-09,1005.86,1012.73,1013.14,1000.82,5250659840,12.32,11.86,0.05,-0.04713884
14-Aug-09,1012.23,1004.09,1012.6,994.6,4940749824,18,6.37,-0.5,-0.0627253
17-Aug-09,998.18,979.73,998.18,978.51,4088570112,19.67,-14.05,-5.91,-0.208429766
18-Aug-09,980.62,989.67,991.2,980.62,4198970112,10.58,-17.56,0.89,0.026292161
19-Aug-09,986.88,996.46,999.61,980.62,4256999936,18.99,6.26,-2.79,0.013631624
20-Aug-09,996.41,1007.37,1008.92,996.39,4893159936,12.53,9.53,-0.05,0.130010057
21-Aug-09,1009.06,1026.13,1027.59,1009.06,5885550080,18.53,12.65,1.69,0.16861468
24-Aug-09,1026.59,1025.57,1035.82,1022.48,6302450176,13.34,17.53,0.46,0.066148892
25-Aug-09,1026.63,1028,1037.75,1026.21,5768739840,11.54,0.04,1.06,-0.092517664
26-Aug-09,1027.35,1028.12,1032.47,1021.57,5080059904,10.9,0.72,-0.65,-0.135565318
27-Aug-09,1027.81,1030.98,1033.33,1016.2,5785880064,17.13,0.46,-0.31,0.121990113
28-Aug-09,1031.62,1028.93,1039.47,1023.13,5785780224,16.34,3.81,0.64,-1.72561E-05
31-Aug-09,1025.21,1020.62,1025.21,1014.62,5004559872,10.59,-6.41,-3.72,-0.15610171
1-Sep-09,1019.52,998.04,1028.45,996.28,6862360064,32.17,-5.69,-1.1,0.270723217
2-Sep-09,996.07,994.75,1000.34,991.97,5842729984,8.37,-23.45,-1.97,-0.174512614
3-Sep-09,996.12,1003.24,1003.43,992.25,4624280064,11.18,0.05,1.37,-0.263489647
4-Sep-09,1003.84,1016.4,1016.48,1001.65,4097370112,14.83,7.72,0.6,-0.128597109
8-Sep-09,1018.67,1025.39,1026.07,1018.67,5235160064,7.4,14.83,2.27,0.21733623
9-Sep-09,1025.36,1033.37,1036.34,1023.97,5202549760,12.37,6.69,-0.03,-0.006268139
10-Sep-09,1032.99,1044.14,1044.14,1028.04,5191379968,16.1,7.63,-0.38,-0.002151604
11-Sep-09,1043.92,1042.73,1048.18,1038.4,4922599936,9.78,10.93,-0.22,-0.054601234
14-Sep-09,1040.15,1049.34,1049.74,1035,4979610112,14.74,-3.77,-2.58,0.011448723
15-Sep-09,1049.03,1052.63,1056.04,1043.42,6185619968,12.62,8.88,-0.31,0.194969924
16-Sep-09,1053.99,1068.76,1068.76,1052.87,6793529344,15.89,4.96,1.36,0.089483587
17-Sep-09,1067.87,1065.49,1074.77,1061.2,6668109824,13.57,13.88,-0.89,-0.018808856
18-Sep-09,1066.6,1068.3,1071.52,1064.27,5607969792,7.25,-1.27,1.11,-0.18904168
21-Sep-09,1067.14,1064.66,1067.28,1057.46,4615280128,9.82,0.54,-1.16,-0.21508763
22-Sep-09,1066.35,1071.66,1073.81,1066.35,5246600192,7.46,-0.79,1.69,0.120329364
23-Sep-09,1072.69,1060.87,1080.15,1060.39,5531930112,19.76,6.34,1.03,0.051578728
24-Sep-09,1062.56,1050.78,1066.29,1045.85,5505610240,20.44,-10.13,1.69,-0.004780555
25-Sep-09,1049.48,1044.38,1053.47,1041.17,4507089920,12.3,-13.08,-1.3,-0.221544353
28-Sep-09,1045.38,1062.98,1065.13,1045.38,3726949888,19.75,-4.1,1,-0.209323993
29-Sep-09,1063.69,1060.61,1069.62,1057.83,4949899776,11.79,18.31,0.71,0.247065586
30-Sep-09,1061.02,1057.08,1063.4,1046.47,5998859776,16.93,-2.67,0.41,0.174859897
1-Oct-09,1054.91,1029.85,1054.91,1029.45,5791450112,25.46,-6.11,-2.17,-0.03581308
2-Oct-09,1029.71,1025.21,1030.6,1019.95,5583240192,10.65,-25.2,-0.14,-0.037291951
5-Oct-09,1026.87,1040.46,1042.58,1025.92,4313310208,16.66,-2.84,1.66,-0.294421204
6-Oct-09,1042.02,1054.72,1060.55,1042.02,5029839872,18.53,15.15,1.56,0.14245576
7-Oct-09,1053.65,1057.58,1058.02,1050.1,4238220032,7.92,11.63,-1.07,-0.186781204
8-Oct-09,1060.03,1065.48,1070.67,1060.03,4988400128,10.64,6.38,2.45,0.150384908
9-Oct-09,1065.28,1071.49,1071.51,1063,3763780096,8.51,5.25,-0.2,-0.325369708
12-Oct-09,1071.63,1076.19,1079.46,1071.63,3710429952,7.83,6.35,0.14,-0.014378426
13-Oct-09,1074.96,1073.19,1075.3,1066.71,4320480256,8.59,3.33,-1.23,0.141199651
14-Oct-09,1078.68,1092.02,1093.17,1078.68,5406419968,14.49,3.72,5.49,0.200861146
15-Oct-09,1090.36,1096.56,1096.56,1086.41,5369780224,10.15,11.68,-1.66,-0.006823323
16-Oct-09,1094.67,1087.68,1094.67,1081.53,4894739968,13.14,4.31,-1.89,-0.097051173
19-Oct-09,1088.22,1097.91,1100.17,1086.48,4619239936,13.69,-6.45,0.54,-0.059641854
20-Oct-09,1098.64,1091.06,1098.64,1086.16,5396930048,12.48,10.42,0.73,0.144098609
21-Oct-09,1090.36,1081.4,1101.36,1080.77,5616289792,20.59,-8.28,-0.7,0.039057768
22-Oct-09,1080.96,1092.91,1095.21,1074.31,5192410112,20.9,-9.4,-0.44,-0.081634476
23-Oct-09,1095.62,1079.6,1095.83,1075.49,4767459840,20.34,14.66,2.71,-0.089135575
26-Oct-09,1080.36,1066.95,1091.75,1065.23,6363380224,26.52,-15.26,0.76,0.250797584
27-Oct-09,1067.54,1063.41,1072.48,1060.62,5337379840,11.86,-12.82,0.59,-0.192229224
28-Oct-09,1061.51,1042.63,1063.26,1042.19,6600350208,21.07,-6.03,-1.9,0.191348993
29-Oct-09,1043.69,1066.11,1066.83,1043.69,5595039744,23.14,-17.82,1.06,-0.179678878
30-Oct-09,1065.41,1036.19,1065.41,1033.38,6512419840,32.03,21.72,-0.7,0.14086624
2-Nov-09,1036.18,1042.88,1052.18,1029.38,6202639872,22.8,-29.23,-0.01,-0.049943246
3-Nov-09,1040.92,1045.41,1046.36,1033.94,5487499776,12.42,4.74,-1.96,-0.130321663
4-Nov-09,1047.14,1046.5,1061,1045.15,5635509760,15.85,6.22,1.73,0.026263815
5-Nov-09,1047.3,1066.63,1066.65,1047.3,4848350208,19.35,0.16,0.8,-0.162356166
6-Nov-09,1064.95,1069.3,1071.48,1059.32,4277129984,12.16,17.65,-1.68,-0.133552225
9-Nov-09,1072.31,1093.08,1093.19,1072.31,4460029952,20.88,7.36,3.01,0.041008686
10-Nov-09,1091.86,1093.01,1096.42,1087.4,4394769920,9.02,19.55,-1.22,-0.014849476
11-Nov-09,1096.04,1098.51,1105.37,1093.81,4286700032,11.56,4.18,3.03,-0.025210509
12-Nov-09,1098.31,1087.24,1101.97,1084.9,4160250112,17.07,2.27,-0.2,-0.030394788
13-Nov-09,1087.59,1093.48,1097.79,1085.33,3792610048,12.46,-10.72,0.35,-0.096935899
16-Nov-09,1094.13,1109.3,1113.69,1094.13,4565850112,19.56,6.54,0.65,0.169352923
17-Nov-09,1109.22,1110.32,1110.52,1102.19,3824069888,8.33,15.09,-0.08,-0.193976639
18-Nov-09,1109.44,1109.8,1111.1,1102.7,4293339904,8.4,0.22,-0.88,0.109301855
19-Nov-09,1106.44,1094.9,1106.44,1088.4,4178030080,18.04,-3,-3.36,-0.027599089
20-Nov-09,1094.66,1091.38,1094.66,1086.81,3751229952,7.85,-11.78,-0.24,-0.11377605
23-Nov-09,1094.86,1106.24,1112.38,1094.86,3827919872,17.52,0.2,3.48,0.020034359
24-Nov-09,1105.83,1105.65,1107.56,1097.63,3700819968,9.93,10.97,-0.41,-0.034343714
25-Nov-09,1106.49,1110.63,1111.18,1104.75,3036349952,6.43,0.66,0.84,-0.218838417
27-Nov-09,1105.47,1091.49,1105.47,1083.74,2362909952,21.73,-1.02,-5.16,-0.285004513
30-Nov-09,1091.07,1095.63,1097.24,1086.25,3895520000,10.99,-14.4,-0.42,0.393428874
1-Dec-09,1098.89,1108.86,1112.28,1098.89,4249309952,13.39,7.82,3.26,0.083258213
2-Dec-09,1109.03,1109.24,1115.58,1105.29,3941339904,10.29,10.14,0.17,-0.078138414
3-Dec-09,1110.59,1099.92,1117.28,1098.74,4810030080,18.54,1.56,1.35,0.180599739
4-Dec-09,1100.43,1105.98,1119.13,1096.52,5781139968,22.61,-10.16,0.51,0.167978961
7-Dec-09,1105.52,1103.25,1110.72,1100.83,4103360000,9.89,5.09,-0.46,-0.408879545
